Name,Description,Defense,Die Number,Die Type,Price,Tags
Axe of Power,26d8 melee strength attack.,0,26,8,27040,"Axe, Melee, Strength, Two-Handed, Weapon"
Allie's Sniper Scoper,22d12 ranged agility attack.,0,22,12,29040,"Agility, Gun, Ranged, Weapon"
DNA Gas Bomb,Each ally member can regain full uses of one ability of their choice.,0,0,0,30000,"Bomb, Consumable, DNA"
Bombarding Turret,Creates a Turret that lasts 3 turns and makes a ranged agility attack against one enemy target. If hit all enemies take 32d6 damage.,0,32,6,30720,"Bomb, Ranged"
Mango Masher,28d8 melee strength attack.,0,28,8,31360,"Axe, Melee, Strength, Two-Handed, Weapon"
Bloodsteel Dagger,41d4 melee agility attack. Has a 60% chance to cause bleeding for one round.,0,41,4,33620,"Agility, Dagger, Melee, Weapon"
Automatic Lazer Gun,24d12 ranged agility attack.,0,24,12,34560,"Agility, Gun, Ranged, Weapon"
Super Soul Axe,30d8 melee strength attack.,0,30,8,36000,"Axe, Melee, Strength, Two-Handed, Weapon"
Big Bad Flamer,26d12 ranged agility attack. Deals fire damage,0,26,12,40560,"Agility, Gun, Ranged, Weapon"
Axe of Honor,32d8 melee strength attack. Can only be purchased by the Honor Guard,0,32,8,40960,"Axe, Melee, Strength, Two-Handed, Weapon"
Axe of Malice,34d8 melee strength attack.,0,34,8,46240,"Axe, Melee, Strength, Two-Handed, Weapon"
Swift Draw Pistol,28d12 ranged agility attack. Gain 5 agility.,0,28,12,47040,"Agility, Gun, Ranged, Weapon"
Mallow Masher,36d8 melee strength attack. Damage from this weapon does not kill an enemy but knocks it out instead.,0,36,8,51840,"Axe, Melee, Strength, Two-Handed, Weapon"
Rapid Fire Blaster,30d12 ranged agility attack.,0,30,12,54000,"Agility, Gun, Ranged, Weapon"
Soul Blaster,32d12 ranged agility attack.,0,32,12,61440,"Agility, Gun, Ranged, Weapon"
Soul Gunerizer,34d12 ranged agility attack.,0,34,12,69360,"Agility, Gun, Ranged, Weapon"
Celestial Lazer Rifle,36d12 ranged agility attack.,0,36,12,77760,"Agility, Gun, Ranged, Weapon"
Tiny Tim,93d4 melee agility attack.,0,93,4,172980,"Agility, Dagger, Melee, Weapon"
Ms. R.I.P.,210d4 melee agility attack.,0,210,4,882000,"Agility, Dagger, Melee, Weapon"
Mr. Stabby,473d4 melee agility attack.,0,473,4,4474580,"Agility, Dagger, Melee, Weapon"
Rat Tail,Sells for 1 credit,,,,,Loot
Fancy Cheese Chips,Sells for 35 credits.,,,,,Loot
Silverware,Sells for 8 credits.,,,,,Loot
Easter Eggs,Can be sold for 10 credits,,,,,Loot
Lightning Vial,Deals 1d8 ranged damage,,1,8,,Bomb
Box of ants for the Queen,,,,,,Ant
Queen Ant Elsa,,,,,,Ant
